iter	Passed	Remaining
0	44	44930
1	80	40261
2	117	39085
3	151	37687
4	176	35169
5	205	34032
6	234	33201
7	260	32285
8	287	31639
9	314	31179
10	348	31358
11	378	31193
12	403	30614
13	431	30398
14	450	29589
15	470	28953
16	489	28327
17	508	27737
18	524	27062
19	541	26540
20	565	26358
21	581	25851
22	600	25523
23	619	25207
24	640	24987
25	659	24724
26	679	24486
27	696	24177
28	714	23909
29	728	23552
30	741	23182
31	755	22864
32	769	22536
33	781	22193
34	799	22046
35	846	22669
36	876	22819
37	895	22680
38	910	22429
39	927	22269
40	944	22101
41	959	21893
42	973	21677
43	992	21555
44	1028	21822
45	1055	21888
46	1083	21960
47	1113	22085
48	1142	22175
49	1166	22157
50	1190	22144
51	1214	22143
52	1235	22073
53	1252	21935
54	1268	21800
55	1289	21743
56	1315	21763
57	1339	21756
58	1367	21807
59	1383	21682
60	1400	21560
61	1415	21414
62	1430	21283
63	1454	21266
64	1477	21247
65	1568	22198
66	1627	22658
67	1679	23019
68	1740	23481
69	1769	23510
70	1797	23525
71	1837	23686
72	1875	23811
73	1908	23877
74	1973	24337
75	2110	25662
76	2134	25592
77	2152	25446
78	2215	25826
79	2256	25948
80	2291	25994
81	2339	26193
82	2360	26080
83	2386	26027
84	2408	25923
85	2437	25908
86	2454	25759
87	2472	25623
88	2488	25468
89	2515	25436
90	2536	25337
91	2556	25234
92	2573	25103
93	2597	25033
94	2617	24931
95	2637	24838
96	2653	24702
97	2672	24600
98	2702	24596
99	2725	24528
100	2763	24595
101	2811	24753
102	2847	24795
103	2891	24908
104	2916	24862
105	2974	25084
106	2998	25022
107	3043	25135
108	3069	25094
109	3091	25012
110	3107	24891
111	3125	24777
112	3145	24689
113	3174	24675
114	3194	24583
115	3214	24494
116	3234	24413
117	3256	24338
118	3287	24337
119	3299	24198
120	3312	24062
121	3337	24019
122	3354	23918
123	3371	23818
124	3388	23720
125	3413	23679
126	3427	23564
127	3444	23464
128	3459	23358
129	3474	23251
130	3494	23178
131	3506	23059
132	3521	22957
133	3536	22852
134	3549	22745
135	3562	22629
136	3574	22516
137	3589	22424
138	3607	22347
139	3633	22319
140	3652	22248
141	3671	22183
142	3690	22118
143	3708	22043
144	3724	21961
145	3742	21892
146	3757	21805
147	3774	21728
148	3790	21651
149	3820	21649
150	3845	21623
151	3872	21605
152	3897	21577
153	3920	21539
154	3938	21468
155	3966	21460
156	3985	21397
157	4006	21351
158	4024	21287
159	4041	21218
160	4056	21139
161	4075	21082
162	4090	21007
